date,baseoil_usd_ton,baseoil_value,baseoil_weight
2015-01-01,736.30,270169445.00,366914171.00
2015-02-01,678.60,222094288.00,327282712.00
2015-03-01,677.30,253183104.00,373830338.00
2015-04-01,667.90,248298884.00,371745580.00
2015-05-01,679.10,206371505.00,303883077.00
2015-06-01,684.70,262502752.00,383407452.00
2015-07-01,678.00,226978321.00,334786401.00
2015-08-01,661.30,188177125.00,284571026.00
2015-09-01,641.90,196063221.00,305458984.00
2015-10-01,594.90,201666331.00,338969914.00
2015-11-01,596.80,169141123.00,283436765.00
2015-12-01,603.60,204233251.00,338336410.00
2016-01-01,565.00,172910120.00,306021116.00
2016-02-01,517.00,183031884.00,354029536.00
2016-03-01,524.20,192220972.00,366699436.00
2016-04-01,556.70,198913511.00,357288385.00
2016-05-01,596.30,211548475.00,354787462.00
2016-06-01,628.70,235342449.00,374305597.00
2016-07-01,636.90,213691762.00,335535196.00
2016-08-01,626.60,191413786.00,305492238.00
2016-09-01,604.30,219570900.00,363323278.00
2016-10-01,603.30,202524192.00,335682955.00
2016-11-01,621.40,219813991.00,353728902.00
2016-12-01,605.90,216208551.00,356840849.00
2017-01-01,625.40,249871284.00,399517735.00
2017-02-01,675.40,236900021.00,350765300.00
2017-03-01,693.20,284575315.00,410501508.00
2017-04-01,730.60,255604804.00,349846328.00
2017-05-01,718.20,268109840.00,373315674.00
2017-06-01,744.30,289598207.00,389100357.00
2017-07-01,719.00,244408194.00,339941136.00
2017-08-01,722.50,278132870.00,384968181.00
2017-09-01,734.20,356034727.00,484897528.00
2017-10-01,732.10,194693533.00,265954325.00
2017-11-01,746.80,312801118.00,418846252.00
2017-12-01,736.90,270105351.00,366526941.00
2018-01-01,757.30,320864673.00,423680788.00
2018-02-01,794.70,312417132.00,393112353.00
2018-03-01,811.50,270153950.00,332917444.00
2018-04-01,822.20,288916400.00,351387783.00
2018-05-01,818.30,341238973.00,417001938.00
2018-06-01,842.80,350016009.00,415305837.00
2018-07-01,827.90,322871022.00,389993745.00
2018-08-01,834.40,337123860.00,404042904.00
2018-09-01,809.00,294337477.00,363841525.00
2018-10-01,800.80,320474151.00,400210712.00
2018-11-01,809.50,309553559.00,382408445.00
2018-12-01,761.70,300181241.00,394084289.00
2019-01-01,689.80,315234932.00,456986191.00
2019-02-01,697.50,284295361.00,407564728.00
2019-03-01,680.90,223039918.00,327554954.00
2019-04-01,710.90,292754784.00,411824764.00
2019-05-01,720.40,290428668.00,403129593.00
2019-06-01,691.80,238673040.00,344998150.00
2019-07-01,712.40,294863739.00,413888109.00
2019-08-01,718.00,266479019.00,371165519.00
2019-09-01,715.60,274051712.00,382973080.00
2019-10-01,735.90,241596791.00,328314846.00
2019-11-01,755.00,321434941.00,425768219.00
2019-12-01,709.20,270417787.00,381325817.00
2020-01-01,686.10,306908295.00,447339226.00
2020-02-01,699.40,211589055.00,302548643.00
2020-03-01,643.30,247146648.00,384195152.00
2020-04-01,579.10,175996622.00,303922726.00
2020-05-01,459.30,113506331.00,247102154.00
2020-06-01,448.40,178290180.00,397573128.00
2020-07-01,476.90,186897865.00,391894219.00
2020-08-01,517.20,197044077.00,380949820.00
2020-09-01,543.60,210838646.00,387852171.00
2020-10-01,581.90,204721526.00,351802959.00
2020-11-01,624.70,228749515.00,366200427.00
