date,usdkrw
2026-07-18,1490.00
2026-07-19,1490.00
2026-07-20,1481.80
2026-07-21,1475.30
2026-07-22,1479.70
2026-07-23,1471.40
2026-07-24,1465.10
2026-07-25,1463.10
2026-07-26,1463.10
2026-07-27,1469.20
2026-07-28,1459.80
2026-07-29,1448.60
2026-07-30,1438.50
2026-07-31,1429.10
2026-08-01,1445.50
2026-08-02,1446.00
2026-08-03,1428.60
2026-08-04,1433.90
2026-08-05,1425.90
2026-08-06,1429.10
2026-08-07,1410.50
2026-08-08,1411.00
2026-08-09,1411.00
2026-08-10,1418.50
2026-08-12,1412.90
2026-08-13,1414.50
2026-08-14,1418.50
2026-08-15,1418.50
2026-08-16,1418.50
2026-08-17,1417.50
2026-08-18,1413.50
2026-08-19,1390.00
2026-08-20,1395.00
2026-08-21,1387.50
