date,lube_price,lube_value,lube_volume
2015-01-01,94.38,148359,1572
2015-02-01,88.53,117040,1322
2015-03-01,89.38,145504,1628
2015-04-01,90.85,142445,1568
2015-05-01,89.65,103727,1157
2015-06-01,91.86,145779,1587
2015-07-01,93.13,126283,1356
2015-08-01,91.23,112674,1235
2015-09-01,87.35,120805,1383
2015-10-01,81.45,103769,1274
2015-11-01,77.56,73756,951
2015-12-01,77.50,81683,1054
2016-01-01,75.56,85838,1136
2016-02-01,75.26,70669,939
2016-03-01,69.29,69502,1003
2016-04-01,75.40,96885,1285
2016-05-01,81.22,88535,1090
2016-06-01,86.49,112870,1305
2016-07-01,83.98,102877,1225
2016-08-01,81.94,104475,1275
2016-09-01,77.81,122157,1570
2016-10-01,76.02,116004,1526
2016-11-01,79.54,105785,1330
2016-12-01,79.41,122763,1546
2017-01-01,82.41,123205,1495
2017-02-01,91.20,112636,1235
2017-03-01,92.26,146327,1586
2017-04-01,96.19,113124,1176
2017-05-01,95.46,140703,1474
2017-06-01,100.45,172269,1715
2017-07-01,94.68,120907,1277
2017-08-01,96.62,139899,1448
2017-09-01,96.42,154366,1601
2017-10-01,94.36,110213,1168
2017-11-01,100.22,145618,1453
2017-12-01,97.67,122966,1259
2018-01-01,101.81,177757,1746
2018-02-01,106.74,152320,1427
2018-03-01,111.52,128697,1154
2018-04-01,110.51,148745,1346
2018-05-01,110.27,205879,1867
2018-06-01,113.08,163285,1444
2018-07-01,108.22,162770,1504
2018-08-01,101.61,214592,2112
2018-09-01,102.55,159254,1553
2018-10-01,102.27,157907,1544
2018-11-01,102.07,156888,1537
2018-12-01,99.19,141839,1430
2019-01-01,89.92,183072,2036
2019-02-01,89.89,137258,1527
2019-03-01,89.57,99607,1112
2019-04-01,91.83,95413,1039
2019-05-01,98.27,136790,1392
2019-06-01,95.00,121034,1274
2019-07-01,90.41,123415,1365
2019-08-01,89.28,86425,968
2019-09-01,88.13,89977,1021
2019-10-01,88.67,114922,1296
2019-11-01,90.02,141069,1567
2019-12-01,88.81,117136,1319
2020-01-01,89.09,213904,2401
2020-02-01,89.94,106941,1189
2020-03-01,87.41,147465,1687
2020-04-01,76.94,96254,1251
2020-05-01,60.12,77070,1282
2020-06-01,64.08,92785,1448
2020-07-01,66.05,105012,1590
2020-08-01,69.03,100509,1456
2020-09-01,73.66,108936,1479
2020-10-01,73.90,98208,1329
2020-11-01,79.64,93734,1177
2020-12-01,83.81,94956,1133
2021-01-01,100.24,123200,1229
2021-02-01,106.69,146697,1375
2021-03-01,121.09,167715,1385
2021-04-01,135.00,207623,1538
2021-05-01,140.09,196544,1403
2021-06-01,144.81,319892,2209
2021-07-01,152.56,393600,2580
2021-08-01,151.99,281791,1854
2021-09-01,182.57,456978,2503
2021-10-01,155.49,391209,2516
2021-11-01,146.48,359157,2452
2021-12-01,151.16,344346,2278
2022-01-01,151.52,314403,2075
2022-02-01,141.17,306631,2172
2022-03-01,135.72,296951,2188
2022-04-01,155.49,360109,2316
2022-05-01,176.09,394446,2240
2022-06-01,187.10,362035,1935
2022-07-01,199.91,500579,2504
2022-08-01,184.34,315775,1713
2022-09-01,201.71,502266,2490
2022-10-01,151.18,264567,1750
2022-11-01,193.24,437494,2264
2022-12-01,161.84,285321,1763
2023-01-01,146.57,341950,2333
2023-02-01,154.02,363960,2363
2023-03-01,161.01,367271,2281
2023-04-01,163.59,358743,2193
2023-05-01,168.24,338673,2013
2023-06-01,170.09,257511,1514
2023-07-01,167.68,219497,1309
2023-08-01,151.39,304740,2013
2023-09-01,159.85,315709,1975
2023-10-01,165.43,407779,2465
2023-11-01,153.92,262123,1703
2023-12-01,163.48,399883,2446
2024-01-01,147.62,321517,2178
2024-02-01,144.02,290775,2019
2024-03-01,141.70,324913,2293
2024-04-01,134.51,240639,1789
2024-05-01,144.73,332595,2298
2024-06-01,139.40,231272,1659
2024-07-01,138.20,257472,1863
2024-08-01,130.30,329929,2532
2024-09-01,130.11,178770,1374
2024-10-01,125.30,259624,2072
2024-11-01,121.37,258764,2132
2024-12-01,123.40,240884,1952
2025-01-01,120.98,177356,1466
2025-02-01,123.15,233495,1896
2025-03-01,121.12,232673,1921
2025-04-01,129.39,237819,1838
2025-05-01,125.14,215234,1720
2025-06-01,124.06,273805,2207
2025-07-01,126.66,262692,2074
2025-08-01,127.83,263705,2063
2025-09-01,128.03,267972,2093
2025-10-01,120.65,276656,2293
2025-11-01,124.01,236859,1910
2025-12-01,127.34,261430,2053
2026-01-01,121.97,260640,2137
2026-02-01,114.45,200515,1752
2026-03-01,126.18,327179,2593
2026-04-01,171.71,305809,1781
2026-05-01,246.33,479599,1947
