# 증권사 리포트 추정치. 단위: 십억원 (EPS/DPS는 원)
# 신영증권 2026-07-15 '탈탄소와 지정학 리스크의 스노우볼' (신홍주)
# 하나증권 2026-07-07 'OSP 8월부터 마이너스 전환. 확신의 매수 구간' (윤재성)
# 컨센서스는 하나증권 리포트의 Consensus Data 블록에서 인용.
source,period,revenue,op,np,eps,dps,note
신영,2026F,42240,4012,2642,22658,4600,목표주가 175000 / Target PBR 1.7
신영,2027F,34384,3319,2216,19000,6000,
신영,2028F,31296,2635,1734,14871,6200,
하나,2026F,39712,3781,2462,21117,4200,목표주가 200000 / Target PBR 2.0
하나,2027F,41734,3647,2605,22340,9000,
하나,2028F,39288,3435,2551,21876,11000,
컨센서스,2026F,42075,3456,2436,20892,,
컨센서스,2027F,38978,2396,1754,15040,,
# 2026년 분기별 (신영증권 도표1 기준)
신영,1Q26,8943,1231,721,,,실적
신영,2Q26F,13690,1095,715,,,
신영,3Q26F,10116,500,402,,,
신영,4Q26F,9492,1185,804,,,
# 2026년 분기별 (하나증권 도표5 기준)
하나,1Q26,8943,1231,721,,,실적
하나,2Q26F,11432,1020,700,,,
하나,3Q26F,9721,492,302,,,
하나,4Q26F,9616,1037,739,,,
