date,depil_kg,depil_usd,lens_kg,lens_usd,mask_kg,mask_usd,mask_usd_kg,other_kg,other_usd,total_usd
2015-01-01,1738.00,7500.00,116774.00,227303.00,,,,2053795.00,13214825.00,13449628.00
2015-02-01,4340.00,38525.00,102962.00,268219.00,,,,1545155.00,9683058.00,9989802.00
2015-03-01,3260.00,243324.00,121816.00,289539.00,,,,2053020.00,14822891.00,15355754.00
2015-04-01,18209.00,266283.00,197723.00,408267.00,,,,2395829.00,14962059.00,15636609.00
2015-05-01,22513.00,166413.00,92922.00,263306.00,,,,2053125.00,11611145.00,12040864.00
2015-06-01,5060.00,44804.00,118846.00,315806.00,,,,2112482.00,14956810.00,15317420.00
2015-07-01,31118.00,238989.00,127909.00,359602.00,,,,2668969.00,21201291.00,21799882.00
2015-08-01,1716.00,15169.00,134725.00,388824.00,,,,2412785.00,17043670.00,17447663.00
2015-09-01,3757.00,32986.00,149364.00,449333.00,,,,2313048.00,17441336.00,17923655.00
2015-10-01,183.00,12444.00,167213.00,473820.00,,,,2487896.00,19855068.00,20341332.00
2015-11-01,11143.00,75941.00,95116.00,254583.00,,,,2847147.00,22187589.00,22518113.00
2015-12-01,31.00,181.00,67609.00,250296.00,,,,2411530.00,20754474.00,21004951.00
2016-01-01,190.00,3314.00,126660.00,294428.00,,,,2064499.00,17042034.00,17339776.00
2016-02-01,8142.00,69555.00,64006.00,204433.00,,,,2148541.00,18105057.00,18379045.00
2016-03-01,5253.00,39329.00,113924.00,387934.00,,,,2620962.00,34152815.00,34580078.00
2016-04-01,13402.00,79674.00,189556.00,534156.00,,,,2621550.00,34168173.00,34782003.00
2016-05-01,28281.00,237725.00,106612.00,327395.00,,,,2768590.00,35931450.00,36496570.00
2016-06-01,336.00,12464.00,73595.00,237669.00,,,,2893105.00,36580928.00,36831061.00
2016-07-01,3860.00,38658.00,162793.00,517422.00,,,,2567429.00,29487665.00,30043745.00
2016-08-01,10.00,117.00,95998.00,264041.00,,,,2826815.00,37494481.00,37758639.00
2016-09-01,21213.00,108275.00,115298.00,309436.00,,,,3180106.00,41381901.00,41799612.00
2016-10-01,10294.00,84421.00,125890.00,281565.00,,,,3160385.00,36057822.00,36423808.00
2016-11-01,48178.00,200834.00,126889.00,383431.00,,,,3055897.00,37414471.00,37998736.00
2016-12-01,80.00,6040.00,80503.00,232012.00,,,,3067587.00,37215746.00,37453798.00
2017-01-01,58928.00,142666.00,104304.00,319433.00,,,,2385745.00,29809826.00,30271925.00
2017-02-01,7749.00,52031.00,202865.00,571353.00,,,,3609390.00,49561503.00,50184887.00
2017-03-01,8774.00,44015.00,173865.00,481455.00,,,,3922763.00,57504302.00,58029772.00
2017-04-01,31801.00,113922.00,190717.00,487377.00,,,,3563779.00,39082711.00,39684010.00
2017-05-01,15529.00,31558.00,176247.00,475952.00,,,,3266289.00,39998301.00,40505811.00
2017-06-01,3701.00,28536.00,115201.00,314785.00,,,,4304703.00,59468728.00,59812049.00
2017-07-01,2658.00,61610.00,145870.00,377050.00,,,,3995649.00,55016248.00,55454908.00
2017-08-01,2637.00,22776.00,129656.00,335497.00,,,,3944115.00,60716135.00,61074408.00
2017-09-01,22246.00,163242.00,198951.00,527909.00,,,,6311416.00,88955636.00,89646787.00
2017-10-01,2574.00,53482.00,140894.00,462795.00,,,,4887211.00,69535916.00,70052193.00
2017-11-01,5029.00,28317.00,173034.00,476832.00,,,,5691404.00,76482300.00,76987449.00
2017-12-01,1475.00,42390.00,121504.00,392348.00,,,,4926931.00,66922181.00,67356919.00
2018-01-01,2690.00,827508.00,173847.00,520585.00,,,,5533045.00,73273958.00,74622051.00
2018-02-01,12362.00,422347.00,96312.00,279711.00,,,,4591712.00,60612594.00,61314652.00
2018-03-01,7728.00,479551.00,193085.00,603413.00,,,,7198273.00,101925366.00,103008330.00
2018-04-01,9073.00,380751.00,160660.00,499530.00,,,,6228748.00,90984641.00,91864922.00
2018-05-01,6970.00,108917.00,90581.00,296953.00,,,,6624048.00,93368040.00,93773910.00
2018-06-01,10297.00,128156.00,136722.00,460300.00,,,,5689130.00,74423432.00,75011888.00
2018-07-01,12257.00,199322.00,245343.00,652529.00,,,,6524860.00,70042496.00,70894347.00
2018-08-01,152.00,512.00,177562.00,631225.00,,,,7019850.00,80917935.00,81549672.00
2018-09-01,355.00,7363.00,132026.00,404487.00,,,,5971633.00,72077711.00,72489561.00
2018-10-01,10151.00,128780.00,136864.00,452859.00,,,,6312618.00,72627268.00,73208907.00
2018-11-01,4597.00,82058.00,152822.00,383413.00,,,,7287919.00,86088147.00,86553618.00
2018-12-01,1574.00,30922.00,172361.00,602532.00,,,,4231032.00,50402696.00,51036150.00
2019-01-01,1071.00,42702.00,108742.00,384146.00,,,,4532338.00,48218089.00,48644937.00
2019-02-01,1470.00,36620.00,86519.00,221532.00,,,,4999000.00,55593031.00,55851183.00
2019-03-01,5340.00,59937.00,151906.00,520461.00,,,,6588946.00,76411179.00,76991577.00
2019-04-01,5832.00,142937.00,126800.00,508894.00,,,,7309367.00,78994821.00,79646652.00
2019-05-01,15561.00,352776.00,95252.00,441772.00,,,,6663025.00,66319901.00,67114449.00
2019-06-01,347.00,10029.00,116010.00,454340.00,,,,4724550.00,49103467.00,49567836.00
2019-07-01,2971.00,80030.00,158982.00,672033.00,,,,5211013.00,56187761.00,56939824.00
2019-08-01,79.00,1296.00,168321.00,579912.00,,,,5083758.00,52761896.00,53343104.00
2019-09-01,2423.00,48000.00,144357.00,573082.00,,,,5886518.00,56984044.00,57605126.00
2019-10-01,1801.00,19686.00,174752.00,540536.00,1061152.00,14098139.00,13.29,5483321.00,52837065.00,67495426.00
2019-11-01,1014.00,7282.00,144011.00,624293.00,1351353.00,18726903.00,13.86,4169081.00,38066847.00,57425325.00
2019-12-01,552.00,7194.00,147101.00,580337.00,1492509.00,26841935.00,17.98,3006922.00,26766780.00,54196246.00
2020-01-01,4804.00,38429.00,62376.00,363430.00,1364630.00,19146571.00,14.03,2481259.00,21019325.00,40567755.00
2020-02-01,9769.00,113047.00,76967.00,453111.00,2127345.00,29292074.00,13.77,3513232.00,25596877.00,55455109.00
2020-03-01,146.00,2520.00,138988.00,849327.00,4949209.00,60554885.00,12.24,4337430.00,34848385.00,96255117.00
2020-04-01,26567.00,380817.00,50069.00,362153.00,3260038.00,49048657.00,15.05,4608084.00,26217375.00,76009002.00
2020-05-01,6132.00,85338.00,50492.00,426860.00,2981254.00,37776660.00,12.67,5660444.00,29464383.00,67753241.00
2020-06-01,624.00,11235.00,74594.00,563789.00,2833640.00,33978291.00,11.99,5027001.00,28534593.00,63087908.00
2020-07-01,510.00,9826.00,90926.00,711169.00,2985070.00,35077603.00,11.75,4423735.00,25340733.00,61139331.00
2020-08-01,4642.00,37896.00,55327.00,263102.00,2403854.00,33217970.00,13.82,3910472.00,22378114.00,55897082.00
2020-09-01,8428.00,73921.00,133887.00,531686.00,4385093.00,53868282.00,12.28,3341145.00,26092516.00,80566405.00
2020-10-01,848.00,20329.00,88089.00,834876.00,4373930.00,57410035.00,13.13,2898258.00,17746538.00,76011778.00
2020-11-01,5207.00,22720.00,107340.00,521239.00,3705631.00,53581613.00,14.46,3624173.00,22417159.00,76542731.00
2020-12-01,6890.00,92241.00,148061.00,785480.00,3295481.00,43864836.00,13.31,6582300.00,23635189.00,68377746.00
2021-01-01,2049.00,42453.00,103315.00,269897.00,4490585.00,53445651.00,11.90,4843227.00,19300019.00,73058020.00
2021-02-01,23300.00,291489.00,65812.00,504673.00,2807571.00,33091083.00,11.79,3826097.00,16888794.00,50776039.00
2021-03-01,9378.00,118136.00,99595.00,504968.00,4945671.00,55641523.00,11.25,5477589.00,23029686.00,79294313.00
2021-04-01,19115.00,219652.00,114634.00,509577.00,5044533.00,54969115.00,10.90,3023213.00,17389891.00,73088235.00
2021-05-01,2047.00,30951.00,100413.00,500312.00,3855919.00,48012398.00,12.45,2475930.00,17344746.00,65888407.00
2021-06-01,2407.00,39323.00,139378.00,632707.00,4015201.00,46352532.00,11.54,2867620.00,16534839.00,63559401.00
2021-07-01,270.00,6379.00,101535.00,636884.00,3701332.00,48456197.00,13.09,1830698.00,12610155.00,61709615.00
2021-08-01,6957.00,54075.00,85323.00,394438.00,4254490.00,45949041.00,10.80,2336840.00,12320990.00,58718544.00
2021-09-01,1962.00,17548.00,87336.00,427527.00,4984368.00,60370385.00,12.11,1772286.00,15679400.00,76494860.00
2021-10-01,266.00,9378.00,125244.00,932923.00,4813330.00,57745244.00,12.00,1929725.00,12739088.00,71426633.00
