period,kind,is_estimate,revenue,op,np,op_margin,np_margin,eps,bps,per,pbr,roe,fetched
2023.12,annual,False,281.0,-40.0,-44.0,-14.33,-15.71,-630.0,1682.0,-5.71,2.14,-32.11,2026-07-23
2024.12,annual,False,499.0,60.0,76.0,12.07,15.15,1015.0,2831.0,22.61,8.11,44.9,2026-07-23
2025.12,annual,False,782.0,150.0,189.0,19.15,24.15,2370.0,5246.0,6.97,3.15,59.77,2026-07-23
2026.12,annual,True,1454.0,246.0,,16.91,,2654.0,,8.84,,,2026-07-23
2025.03,quarterly,False,178.0,38.0,35.0,21.1,19.72,441.0,3281.0,14.25,6.61,63.99,2026-07-23
2025.06,quarterly,False,246.0,55.0,40.0,22.15,16.23,502.0,3788.0,21.43,10.64,72.14,2026-07-23
2025.09,quarterly,False,236.0,56.0,53.0,23.98,22.41,662.0,4465.0,10.73,5.52,71.03,2026-07-23
2025.12,quarterly,False,122.0,1.0,61.0,0.86,50.09,765.0,5246.0,6.97,3.15,59.77,2026-07-23
2026.03,quarterly,False,294.0,34.0,35.0,11.62,11.84,436.0,5694.0,13.21,5.49,53.67,2026-07-23
2026.06,quarterly,True,396.0,76.0,,19.19,,803.0,,,,,2026-07-23
