date,change,change_pct,mktcap,price
2026-07-19,1250,5.22,2008,25200
2026-07-20,1250,4.96,2108,26450
2026-07-21,-650,-2.46,2056,25800
2026-07-22,-2350,-9.11,1869,23450
2026-07-23,300,1.28,1893,23750
2026-07-24,400,1.68,1924,24150
2026-07-25,400,1.68,1924,24150
2026-07-26,400,1.68,1924,24150
2026-07-27,600,2.48,1972,24750
2026-07-28,-1850,-7.47,1825,22900
2026-07-29,1450,6.33,1940,24350
2026-07-30,1250,5.13,2040,25600
2026-07-31,-1100,-4.30,1952,24500
2026-08-01,-1100,-4.30,1952,24500
2026-08-02,-1100,-4.30,1952,24500
2026-08-03,-1750,-7.14,1813,22750
2026-08-04,1150,5.05,1905,23900
2026-08-05,2050,8.58,2068,25950
2026-08-06,2750,10.60,2287,28700
2026-08-07,0,0.00,2287,28700
2026-08-08,0,0.00,2287,28700
2026-08-09,0,0.00,2287,28700
2026-08-10,0,0.00,2359,29600
2026-08-12,1150,3.79,2510,31500
2026-08-13,1050,3.23,2677,33600
2026-08-14,50,0.17,2407,30200
